document_id,challenge,user,ID,value
06on6fEtludImIuschYf3ZIDtl23wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,06on6fEtludImIuschYf3ZIDtl23,4,FEDERICO GUTIERREZ 
06on6fEtludImIuschYf3ZIDtl23wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,06on6fEtludImIuschYf3ZIDtl23,5,CLAUDIA GURISATTI
0J3oKNuxZRckAxfYbf6038b7cT43wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,0J3oKNuxZRckAxfYbf6038b7cT43,4,NINGUNO
0J3oKNuxZRckAxfYbf6038b7cT43wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,0J3oKNuxZRckAxfYbf6038b7cT43,5,NINGUNO 
0edF4rwaOGfFNokGiisLpdZKmhq1wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,0edF4rwaOGfFNokGiisLpdZKmhq1,4,Ninguna
0edF4rwaOGfFNokGiisLpdZKmhq1wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,0edF4rwaOGfFNokGiisLpdZKmhq1,5,Ninguno
0ilM2weftgaGVZZk4MgJNP5h4T03wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,0ilM2weftgaGVZZk4MgJNP5h4T03,4,RODOLFO HERNANDEZ
0ilM2weftgaGVZZk4MgJNP5h4T03wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,0ilM2weftgaGVZZk4MgJNP5h4T03,5,"JUAN CARLOS AGUIRRE
"
0pTc8Mk1cjQS1TT0ZM0bCGRgS7q2wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,0pTc8Mk1cjQS1TT0ZM0bCGRgS7q2,4,RODOLFO HERNANDEZ 
0pTc8Mk1cjQS1TT0ZM0bCGRgS7q2wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,0pTc8Mk1cjQS1TT0ZM0bCGRgS7q2,5,MARIA LUCIA FERNANDEZ
0wEGtqTfzJSCfrItrAyVAiN5LTh2wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,0wEGtqTfzJSCfrItrAyVAiN5LTh2,4,Ninguno
